Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
18:02:48 Jan 05 2021,96,109,86,0,0
18:02:50 Jan 05 2021,96,109,1,0,0
18:02:52 Jan 05 2021,96,109,6,0,0
18:02:54 Jan 05 2021,96,109,1,0,0
18:02:56 Jan 05 2021,96,109,0,0,0
18:02:58 Jan 05 2021,96,109,0,0,0
18:03:00 Jan 05 2021,96,109,0,0,0
18:03:02 Jan 05 2021,96,109,3,0,0
18:03:04 Jan 05 2021,96,109,2,0,0
18:03:06 Jan 05 2021,96,109,2,0,0
18:03:08 Jan 05 2021,96,109,0,0,0
18:03:10 Jan 05 2021,96,109,8,0,0
18:03:12 Jan 05 2021,96,109,1,0,0
18:03:14 Jan 05 2021,95,109,3,0,0
18:03:16 Jan 05 2021,96,109,6,0,0
18:03:18 Jan 05 2021,96,108,4,0,0
18:03:20 Jan 05 2021,96,108,5,0,0
18:03:22 Jan 05 2021,96,108,5,0,0
18:03:24 Jan 05 2021,94,108,5,0,0
18:03:26 Jan 05 2021,93,108,3,0,0
18:03:28 Jan 05 2021,93,88,4,0,0
18:03:30 Jan 05 2021,93,88,3,0,0
18:03:32 Jan 05 2021,93,88,2,0,0
18:03:34 Jan 05 2021,93,88,4,0,0
18:03:36 Jan 05 2021,93,88,1,0,0
18:03:38 Jan 05 2021,93,88,0,0,0
18:03:40 Jan 05 2021,93,88,3,0,0
18:03:42 Jan 05 2021,93,88,1,0,0
18:03:44 Jan 05 2021,93,88,1,0,0
18:03:46 Jan 05 2021,93,88,0,0,0
18:03:48 Jan 05 2021,93,88,14,0,0
18:03:50 Jan 05 2021,95,88,9,0,0
18:03:52 Jan 05 2021,95,88,3,0,0
18:03:54 Jan 05 2021,93,88,7,0,0
18:03:56 Jan 05 2021,91,88,2,0,0
18:03:58 Jan 05 2021,91,88,1,0,0
18:04:00 Jan 05 2021,91,88,1,0,0
18:04:02 Jan 05 2021,91,88,1,0,0
18:04:04 Jan 05 2021,91,88,1,0,0
18:04:06 Jan 05 2021,91,88,1,0,0
18:04:08 Jan 05 2021,91,88,19,0,0
18:04:10 Jan 05 2021,91,88,0,0,0
18:04:12 Jan 05 2021,94,84,0,0,0
18:04:14 Jan 05 2021,94,83,0,0,0
18:04:16 Jan 05 2021,95,81,0,0,0
18:04:18 Jan 05 2021,95,80,0,0,0
18:04:20 Jan 05 2021,96,79,0,0,0
18:04:22 Jan 05 2021,97,72,0,0,0
18:04:24 Jan 05 2021,97,71,0,0,0
18:04:26 Jan 05 2021,97,68,0,0,0
18:04:28 Jan 05 2021,97,73,1,0,0
18:04:30 Jan 05 2021,97,71,0,0,0
18:04:32 Jan 05 2021,97,72,0,0,0
18:04:34 Jan 05 2021,97,72,0,0,0
18:04:36 Jan 05 2021,97,66,0,0,0
18:04:38 Jan 05 2021,97,72,0,0,0
18:04:40 Jan 05 2021,97,71,0,0,0
18:04:42 Jan 05 2021,97,75,0,0,0
18:04:44 Jan 05 2021,96,77,1,0,0
18:04:46 Jan 05 2021,96,79,1,0,0
18:04:48 Jan 05 2021,96,80,0,0,0
18:04:50 Jan 05 2021,96,78,1,0,0
18:04:52 Jan 05 2021,96,79,0,0,0
18:04:54 Jan 05 2021,96,79,2,0,0
18:04:56 Jan 05 2021,96,82,4,0,0
18:04:58 Jan 05 2021,96,86,0,0,0
18:05:00 Jan 05 2021,96,88,0,0,0
18:05:02 Jan 05 2021,96,86,0,0,0
18:05:04 Jan 05 2021,96,86,0,0,0
18:05:06 Jan 05 2021,96,86,0,0,0
18:05:08 Jan 05 2021,96,86,0,0,0
18:05:10 Jan 05 2021,96,84,0,0,0
18:05:12 Jan 05 2021,96,83,0,0,0
18:05:14 Jan 05 2021,96,82,0,0,0
18:05:16 Jan 05 2021,96,82,0,0,0
18:05:18 Jan 05 2021,96,81,0,0,0
18:05:20 Jan 05 2021,96,81,0,0,0
18:05:22 Jan 05 2021,96,80,0,0,0
18:05:24 Jan 05 2021,96,82,0,0,0
18:05:26 Jan 05 2021,96,83,0,0,0
18:05:28 Jan 05 2021,96,83,0,0,0
18:05:30 Jan 05 2021,96,83,0,0,0
18:05:32 Jan 05 2021,96,84,0,0,0
18:05:34 Jan 05 2021,96,83,0,0,0
18:05:36 Jan 05 2021,96,83,0,0,0
18:05:38 Jan 05 2021,96,82,0,0,0
18:05:40 Jan 05 2021,95,80,0,0,0
18:05:42 Jan 05 2021,95,80,0,0,0
18:05:44 Jan 05 2021,95,76,0,0,0
18:05:46 Jan 05 2021,95,76,0,0,0
18:05:48 Jan 05 2021,95,75,0,0,0
18:05:50 Jan 05 2021,95,74,0,0,0
18:05:52 Jan 05 2021,95,75,0,0,0
18:05:54 Jan 05 2021,95,75,0,0,0
18:05:56 Jan 05 2021,95,78,0,0,0
18:05:58 Jan 05 2021,95,77,0,0,0
18:06:00 Jan 05 2021,95,76,0,0,0
18:06:02 Jan 05 2021,95,74,0,0,0
18:06:04 Jan 05 2021,95,69,0,0,0
18:06:06 Jan 05 2021,95,63,0,0,0
